id	sn	nw	wn	fl	dur	CURRENT_FIX_INTEREST_AREA_LABEL
ZAB	1	15	5	0.6624566273421237	30	race
ZAB	1	15	1	0.6954545454545453	95	With
ZAB	1	15	3	0.1062937062937062	95	interest
ZAB	1	15	1	0.625	71	With
ZAB	1	15	2	0.7166666666666667	100	his
ZAB	1	15	3	0.2167832167832167	51	interest
ZAB	1	15	4	0.3800963081861961	97	in
ZAB	1	15	5	0.7002081887578071	103	race
ZAB	1	15	7	0.1467469188879335	83	he
ZAB	1	15	8	0.2335317006179902	56	formed
ZAB	1	15	9	0.7441112559756615	125	a
ZAB	1	15	11	0.3245412239880584	139	company,
ZAB	1	15	12	0.3951312649164679	70	the
ZAB	1	15	13	0.8503253796095445	80	Henry
ZAB	1	15	15	0.3317225648390638	257	Company.
ZAB	2	27	14	0.0129496402877698	32	against
ZAB	2	27	2	0.4295429932856835	35	this
ZAB	2	27	1	0.5191444966092853	103	During
ZAB	2	27	1	0.2804381846635367	44	During
ZAB	2	27	3	0.1100880798590724	79	period,
ZAB	2	27	5	0.0577472841623785	161	personally
ZAB	2	27	5	0.7645021645021648	66	personally
ZAB	2	27	6	0.6303448275862065	78	drove
ZAB	2	27	8	0.0813656167416611	117	Quadricycle
ZAB	2	27	8	0.3373473323334045	47	Quadricycle
ZAB	2	27	6	0.9466666666666672	110	drove
ZAB	2	27	7	0.272131147540984	64	his
ZAB	2	27	8	0.3410042139847155	170	Quadricycle
ZAB	2	27	8	0.1837583029783589	161	Quadricycle
ZAB	2	27	8	0.5101349903578312	140	Quadricycle
ZAB	2	27	8	0.4251124919648597	42	Quadricycle
ZAB	2	27	8	0.9443896864509672	72	Quadricycle
ZAB	2	27	10	0.3326810176125244	196	victory
ZAB	2	27	11	0.3548387096774194	38	in
ZAB	2	27	8	0.8282836940218558	88	Quadricycle
ZAB	2	27	8	0.9736447396614528	21	Quadricycle
ZAB	2	27	10	0.3812133072407044	133	victory
ZAB	2	27	11	0.4787096774193551	121	in
ZAB	2	27	13	0.5957416607523064	65	race
ZAB	2	27	15	0.0311827956989244	90	Alexander
ZAB	2	27	15	0.4698924731182795	36	Alexander
ZAB	2	27	16	0.187323943661972	73	Winton,
ZAB	2	27	18	0.2354243542435425	104	well-known
ZAB	2	27	18	0.0464944649446496	44	well-known
ZAB	2	27	18	0.5798277982779824	41	well-known
ZAB	2	27	19	0.528440366972477	152	driver
ZAB	2	27	21	0.2294617563739376	78	the
ZAB	2	27	22	0.5402314499659633	90	heavy
ZAB	2	27	23	0.4179887155658808	85	favorite
ZAB	2	27	24	0.3527272727272723	12	on
ZAB	2	27	22	0.5489448604492853	161	heavy
ZAB	2	27	23	0.2919570748976656	81	favorite
ZAB	2	27	25	0.4267515923566879	119	October
ZAB	2	27	27	0.3592592592592588	158	1901.
ZAB	2	27	26	0.2878787878787879	257	10,
ZAB	3	23	3	0.0087076537013803	33	forced
ZAB	3	23	1	0.2500087981699805	122	Ford
ZAB	3	23	2	0.4721873847288824	71	was
ZAB	3	23	3	0.4471518193224591	84	forced
ZAB	3	23	5	0.5550017070672579	94	of
ZAB	3	23	7	0.0689239755407499	97	company
ZAB	3	23	8	0.8956445993031354	155	by
ZAB	3	23	8	0.1411730545876879	36	by
ZAB	3	23	9	0.1474873767732631	25	the
ZAB	3	23	11	0.2401807643186952	96	including
ZAB	3	23	11	0.7670694567246291	49	including
ZAB	3	23	12	0.7617252136172522	80	Henry
ZAB	3	23	14	0.1686882245271508	188	Leland
ZAB	3	23	16	0.3381818181818186	161	1902,
ZAB	3	23	18	0.8066100094428713	77	the
ZAB	3	23	19	0.6058823529411764	46	company
ZAB	3	23	20	0.3658536585365853	44	was
ZAB	3	23	21	0.1079002529815684	98	reorganized
ZAB	3	23	21	0.472425009035056	91	reorganized
ZAB	3	23	22	0.6578902473699173	75	as
ZAB	3	23	22	0.1083309638896787	96	as
ZAB	3	23	21	0.2022696060715576	153	reorganized
ZAB	3	23	21	0.8091940730032526	62	reorganized
ZAB	3	23	23	0.084076433121019	128	Cadillac.
ZAB	4	37	2	0.8036036036036035	58	1891,
ZAB	4	37	2	0.009009009009009	86	1891,
ZAB	4	37	2	0.3243243243243243	59	1891,
ZAB	4	37	3	0.204255319148936	174	Ford
ZAB	4	37	2	0.5531531531531529	58	1891,
ZAB	4	37	1	0.9463414634146344	69	In
ZAB	4	37	3	0.4361702127659574	89	Ford
ZAB	4	37	4	0.6973684210526315	71	became
ZAB	4	37	6	0.3239567233384852	104	engineer
ZAB	4	37	7	0.8419127452848156	58	with
ZAB	4	37	9	0.2236220472440943	55	Edison
ZAB	4	37	6	0.4377125193199379	123	engineer
ZAB	4	37	5	0.3333333333333333	146	an
ZAB	4	37	7	0.5736711754619922	85	with
ZAB	4	37	9	0.4409448818897638	48	Edison
ZAB	4	37	10	0.3422087510686252	157	Illuminating
ZAB	4	37	11	0.1168010640951035	122	Company,
ZAB	4	37	12	0.1765159196917464	112	and
ZAB	4	37	13	0.5829521145301956	109	after
ZAB	4	37	14	0.8617015637423793	88	his
ZAB	4	37	15	0.5308947191389171	44	promotion
ZAB	4	37	17	0.6252427184466028	104	Chief
ZAB	4	37	18	0.9199999999999996	124	Engineer
ZAB	4	37	20	0.622429906542056	82	1893,
ZAB	4	37	20	0.4355140186915887	58	1893,
ZAB	4	37	22	0.0657489213067598	104	had
ZAB	4	37	23	0.3133424098025867	81	enough
ZAB	4	37	24	0.4271425982967932	95	time
ZAB	4	37	26	0.0404214095422624	97	money
ZAB	4	37	26	0.3922741583918626	54	money
ZAB	4	37	28	0.1153846153846153	79	devote
ZAB	4	37	29	0.4240703177822847	131	attention
ZAB	4	37	31	0.2724137931034475	46	his
ZAB	4	37	32	0.2916650400156158	123	personal
ZAB	4	37	33	0.0669642857142857	111	experiments
ZAB	4	37	34	0.1296296296296296	93	on
ZAB	4	37	35	0.4942028985507249	125	internal
ZAB	4	37	36	0.1133333333333331	105	combustion
ZAB	4	37	36	0.7180952380952379	63	combustion
ZAB	4	37	35	0.5260869565217393	67	internal
ZAB	4	37	35	0.1275362318840581	30	internal
ZAB	4	37	34	0.9629629629629628	85	on
ZAB	4	37	21	0.8618181818181814	60	he
ZAB	4	37	20	0.2934579439252337	117	1893,
ZAB	5	25	1	0.275	87	These
ZAB	5	25	2	0.23125	86	experiments
ZAB	5	25	3	0.2645838264299802	103	culminated
ZAB	5	25	5	0.3089514066496168	172	1896
ZAB	5	25	6	0.5137587050630527	76	with
ZAB	5	25	8	0.1929999999999995	72	completion
ZAB	5	25	8	0.8420000000000004	143	completion
ZAB	5	25	8	1.0	52	completion
ZAB	5	25	10	0.7275862068965515	150	his
ZAB	5	25	11	0.9595238095238098	75	own
ZAB	5	25	12	0.5281416818438736	167	self-propelled
ZAB	5	25	13	0.3065649946383891	88	vehicle
ZAB	5	25	14	0.3038498556304136	122	named
ZAB	5	25	16	0.1626229508196723	106	Quadricycle,
ZAB	5	25	16	0.4222950819672132	182	Quadricycle,
ZAB	5	25	17	0.3396825396825401	60	which
ZAB	5	25	18	0.4674916993661332	86	he
ZAB	5	25	19	0.3460698151950719	169	test-drove
ZAB	5	25	21	0.376842105263158	104	June
ZAB	5	25	24	0.3745484067383806	100	that
ZAB	5	25	25	0.3445292620865142	89	year.
ZAB	5	25	2	0.0741071428571429	82	experiments
ZAB	5	25	5	0.2925831202046038	108	1896
ZAB	6	33	9	0.1421800947867298	103	Springwells
ZAB	6	33	1	0.7365124054196728	70	Ford
ZAB	6	33	1	0.5112792539151857	57	Ford
ZAB	6	33	3	0.4625021690091968	82	born
ZAB	6	33	5	0.4728378965667101	110	a
ZAB	6	33	3	0.3114697206316155	85	born
ZAB	6	33	6	0.8288919000301114	102	prosperous
ZAB	6	33	7	0.4701807737793546	111	farm
ZAB	6	33	9	0.0454976303317536	106	Springwells
ZAB	6	33	7	0.8918736273019091	72	farm
ZAB	6	33	10	0.0802259887005652	116	Township
ZAB	6	33	10	0.0711864406779655	18	Township
ZAB	6	33	11	0.9110539845758358	52	(now
ZAB	6	33	11	0.1871465295629819	65	(now
ZAB	6	33	16	0.0580645161290323	118	Dearborn,
ZAB	6	33	13	0.1665958952583158	114	the
ZAB	6	33	14	0.764505119453925	40	city
ZAB	6	33	16	0.3516129032258063	92	Dearborn,
ZAB	6	33	17	0.4633333333333332	128	Michigan)
ZAB	6	33	18	0.6984374999999998	120	owned
ZAB	6	33	20	0.150660792951541	86	his
ZAB	6	33	21	0.3703204735660338	120	parents,
ZAB	6	33	22	0.0376811594202897	61	William
ZAB	6	33	22	0.9652173913043476	176	William
ZAB	6	33	24	0.0571991574369778	81	(1826-1905)
ZAB	6	33	24	0.5164231840728407	68	(1826-1905)
ZAB	6	33	26	0.7785919757759271	105	Mary
ZAB	6	33	27	0.5946462715105163	210	Litogot
ZAB	6	33	28	0.581322957198444	44	(c1839-1876),
ZAB	6	33	29	0.6154906413971337	53	immigrants
ZAB	6	33	29	0.159386013000235	91	immigrants
ZAB	6	33	29	0.9523063669825358	64	immigrants
ZAB	6	33	31	0.2173752310536042	91	County
ZAB	6	33	32	0.1829787234042555	97	Cork,
ZAB	6	33	33	0.2357142857142857	103	Ireland.
ZAB	6	33	16	0.1129032258064516	58	Dearborn,
ZAB	7	13	5	0.194421735994229	49	the
ZAB	7	13	2	0.3790815099783602	55	the
ZAB	7	13	1	0.2967387033398824	74	In
ZAB	7	13	3	0.5310102571308136	94	years
