name,sn,nw,wn,fl,CURRENT_FIX_INTEREST_AREA_LABEL,dur,id
001_claude-v1_eye_tracking1_clustered,11,55,17,0.4808515320245477,to,57,14
001_claude-v1_eye_tracking1_clustered,11,55,20,0.2370917073899684,perceive,100,14
001_claude-v1_eye_tracking1_clustered,11,55,26,0.148728980436694,of,78,14
001_claude-v1_eye_tracking1_clustered,11,55,25,0.6716941225121177,perspective,1,14
001_claude-v1_eye_tracking1_clustered,11,55,6,0.6333412744015552,feelings,1,14
001_claude-v1_eye_tracking1_clustered,11,55,20,0.3297826272080187,perceive,1,14
001_claude-v1_eye_tracking1_clustered,11,55,16,0.0662239238634899,able,44,14
001_claude-v1_eye_tracking1_clustered,11,55,19,0.7691748384075507,or,25,14
001_claude-v1_eye_tracking1_clustered,11,55,22,0.517360839692578,world,45,14
001_claude-v1_eye_tracking1_clustered,11,55,25,0.73914591866151,perspective,57,14
001_claude-v1_eye_tracking1_clustered,11,55,23,0.9657392820152628,from,1,14
001_claude-v1_eye_tracking1_clustered,11,55,34,0.3957905893180394,"senses,",1,14
001_claude-v1_eye_tracking1_clustered,11,55,31,0.3012153625488281,do,1,14
001_claude-v1_eye_tracking1_clustered,11,55,35,0.077243400691293,"emotions,",27,14
001_claude-v1_eye_tracking1_clustered,11,55,37,0.5920638783860452,consciousness,84,14
001_claude-v1_eye_tracking1_clustered,11,55,37,0.9843319114098588,consciousness,1,14
001_claude-v1_eye_tracking1_clustered,11,55,51,0.798003463972312,"helpful,",1,14
001_claude-v1_eye_tracking1_clustered,11,55,48,0.6071970210139692,Anthropic,1,14
001_claude-v1_eye_tracking1_clustered,11,55,46,0.4364901320797807,created,1,14
001_claude-v1_eye_tracking1_clustered,11,55,45,0.0516651938490634,assistant,1,14
001_claude-v1_eye_tracking1_clustered,11,55,45,0.2037843063310518,assistant,73,14
001_claude-v1_eye_tracking1_clustered,11,55,46,0.2441936229107457,created,1,14
001_claude-v1_eye_tracking1_clustered,11,55,48,0.0360166222603564,Anthropic,19,14
001_claude-v1_eye_tracking1_clustered,11,55,48,0.1333741645592485,Anthropic,1,14
001_claude-v1_eye_tracking1_clustered,11,55,51,0.559561650094247,"helpful,",47,14
001_claude-v1_eye_tracking1_clustered,11,55,48,0.8078354558044316,Anthropic,1,14
001_claude-v1_eye_tracking1_clustered,11,55,54,0.434833503693977,honest.,37,14
001_claude-v1_eye_tracking1_clustered,11,55,54,0.880452196172259,honest.,1,14
001_claude-v1_eye_tracking1_clustered,11,55,45,0.4419620815134186,assistant,17,14
001_claude-v1_eye_tracking1_clustered,11,55,45,0.3578365341318443,assistant,1,14
001_claude-v1_eye_tracking1_clustered,11,55,42,0.7917907861211031,am,18,14
001_claude-v1_eye_tracking1_clustered,11,55,42,0.6379441759092725,am,1,14
001_claude-v1_eye_tracking1_clustered,11,55,44,0.5629681510012345,AI,1,14
001_claude-v1_eye_tracking1_clustered,11,55,20,0.8763916030427167,perceive,12,14
001_claude-v1_eye_tracking1_clustered,11,55,6,0.4817762674792427,feelings,18,14
001_claude-v1_eye_tracking1_clustered,11,55,6,0.6571144939998766,feelings,1,14
001_claude-v1_eye_tracking1_clustered,11,55,6,0.1480487548587117,feelings,1,14
001_claude-v1_eye_tracking1_clustered,11,55,54,0.5936395467011282,honest.,1,14
001_claude-v1_eye_tracking1_clustered,11,55,48,0.2659152403961946,Anthropic,14,14
001_claude-v1_eye_tracking1_clustered,11,55,22,0.5427115256682415,world,42,14
001_claude-v1_eye_tracking1_clustered,11,55,21,0.2288853292366107,the,1,14
001_claude-v1_eye_tracking1_clustered,11,55,33,0.2022871934486337,have,25,14
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,85,46,0.22580488905773,tree,1,14
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,85,18,0.4397104501944095,that,58,14
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,85,21,0.827122564802834,tree,37,14
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,85,24,0.2219558329022245,been,20,14
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,85,26,0.9564581764164376,in,37,14
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,85,29,0.5334736105303225,forest,12,14
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,85,33,0.3349298787138815,would,30,14
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,85,20,0.1089088058692726,100-year-old,51,14
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,85,20,0.6889151159093388,100-year-old,1,14
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,85,26,0.4721884654685314,in,162,14
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,85,29,0.0852624081762479,forest,24,14
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,85,29,0.5724569501629783,forest,1,14
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,85,28,0.1634814824985354,lush,1,14
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,85,24,0.910127756401966,been,1,14
001_vicuna-13b-v1.2_eye_tracking2_clustered,39,85,21,0.1807273169718493,tree,1,14
