id	sn	nw	wn	fl	dur	CURRENT_FIX_INTEREST_AREA_LABEL
ZAB	1	22	5	0.8916731276166849	28	while
ZAB	1	22	1	0.4292682926829269	119	Presents
ZAB	1	22	2	0.0888888888888885	73	a
ZAB	1	22	1	0.3085365853658536	185	Presents
ZAB	1	22	2	0.5777777777777781	122	a
ZAB	1	22	1	0.8707317073170733	223	Presents
ZAB	1	22	1	0.4682926829268293	142	Presents
ZAB	1	22	1	0.4036585365853657	31	Presents
ZAB	1	22	2	0.8833333333333336	100	a
ZAB	1	22	4	0.0544134631248967	106	case
ZAB	1	22	5	0.2863079547216625	145	while
ZAB	1	22	5	0.99686773143123	97	while
ZAB	1	22	5	0.4093657931462242	91	while
ZAB	1	22	7	0.0517439891635634	79	to
ZAB	1	22	8	0.4187660381568673	95	provide
ZAB	1	22	9	0.4953043478260857	82	a
ZAB	1	22	10	0.4218497528035685	76	reason
ZAB	1	22	10	0.9528035692752932	79	reason
ZAB	1	22	13	0.9091584994930724	59	to
ZAB	1	22	13	0.1002365664075702	95	to
ZAB	1	22	14	0.7804064616988013	66	care
ZAB	1	22	15	0.8611998659367667	77	beyond
ZAB	1	22	17	0.8349054937290235	76	very
ZAB	1	22	18	0.8735370117039064	90	basic
ZAB	1	22	19	0.3753424657534243	131	dictums
ZAB	1	22	20	0.8978723404255329	104	of
ZAB	1	22	21	0.48	58	human
ZAB	1	22	22	0.3951807228915657	151	decency.
ZAB	2	22	1	0.4080106809078772	71	Beautifully
ZAB	2	22	1	0.2008010680907876	75	Beautifully
ZAB	2	22	2	0.1547169811320755	126	crafted,
ZAB	2	22	3	0.2450714547453276	147	engaging
ZAB	2	22	3	0.7258336386954926	99	engaging
ZAB	2	22	3	0.3365335287651153	119	engaging
ZAB	2	22	4	0.2610828025477704	99	filmmaking
ZAB	2	22	5	0.0402525651144435	121	that
ZAB	2	22	6	0.0893968253968253	105	should
ZAB	2	22	7	0.2727453169581945	154	attract
ZAB	2	22	8	0.4041666666666665	192	upscale
ZAB	2	22	9	0.0563829787234043	72	audiences
ZAB	2	22	8	0.1152777777777777	145	upscale
ZAB	2	22	8	0.4513888888888889	48	upscale
ZAB	2	22	9	0.3021276595744681	130	audiences
ZAB	2	22	10	0.099405411964567	156	hungry
ZAB	2	22	10	0.7734983618492903	85	hungry
ZAB	2	22	12	0.1158953722334002	91	quality
ZAB	2	22	14	0.2606007836308222	89	a
ZAB	2	22	15	0.1959781928679956	78	nostalgic,
